"","screen_name","user_id","prob_bot"
"1","AFVofficial","167491068",0.00510352683108866
"2","hirofus","11935002",0.998940314615914
"3","GMPent","126434587",0.377727014568991
"4","Mychlov8","1085593512",0.218094021559448
"5","AidanGFX_","2294520121",0.0500353432623864
"6","YOLO_AEMCS","438459835",0.0852791834405232
"7","FifieAzman","1371206076",0.533166490335119
"8","jefferraro","125161233",0.248473684383813
"9","_Remag","713401105",0.0411198280926762
"10","vcd_87","139724442",0.0788583742597207
"11","johnwylie","2658070706",0.00745043085301969
"12","_NBlakeJones_","355611353",0.163904564820865
"13","stayalively","4874082508",0.83626095380454
"14","KakanTuring","27390715",0.369922546992416
"15","Nancycfields1","857662493677596672",0.491856828232733
"16","jadeesanton","284244574",0.171791829577014
"17","PatoTamezz","2285986656",0.961465045495679
"18","sugru","67598405",0.0182175411336503
"19","HackerNest","390521245",0.0488689597169402
"20","randadrr","1593111546",0.842330665781112
"21","andreolifelipe","34461692",0.388493145664297
"22","arannzirri","295808762",0.0138571756802172
"23","pipp5eq","2816769210",0.929708067200312
"24","Vegasgirl89131","72352886",0.988893087648386
"25","attar_ISA","162262968",0.00423303942476486
"26","juli_wolovich","850333346",0.991223512989494
"27","paulocadaval","36019714",0.886592490089775
"28","mathewpoptartm","2910279374",0.365567952253367
"29","dodaface","1490721667",0.019326766576266
"30","YuverDaza","275368542",0.816829006467306
"31","BeauBishop","19316413",0.004139121262835
"32","itsmehasraf","281004077",0.00922977296034016
"33","mustydust","87145036",0.00646819660510012
"34","hanzthemann","2462679363",0.772398040397007
"35","KJHart7","484363142",0.0195048790692009
"36","DCbekillin","219491647",0.742484994951484
"37","NikolaRusTesla","932687611",0.896493325854483
"38","ArtIsMorgan","109952167",0.0229253870351189
"39","marialecd","515825557",0.91510814203443
"40","estocanam2","846529082",0.90775214707259
"41","claes","731243",0.2718191254255
"42","motleycroutons","520645256",0.544526487187565
"43","ludmilapssouza","164437387",0.887146271064074
"44","jgarciabejos","106829702",0.0194209791338093
"45","Damomartt","494410683",0.0119541496707722
"46","HaseChansen","203960635",0.278976454102175
"47","astro_molldoll","205696541",0.547399374963463
"48","juke_technobox","162256928",0.658876192922714
"49","TLOzherelyeva","204980320",0.706306899483497
"50","negan_trash","797024228977606656",0.0180681602735173
"51","Official_RTA","2334883769",0.0904096713069196
"52","NeoThaGod","38262238",0.949323411887017
"53","Polonki2005","4766370876",0.991045457036418
"54","Stu_R_Chap","1297161625",0.995478758309004
"55","PUSSYBOII3","3300282901",0.620768122334259
"56","gracielahuerta0","2352430494",0.22238363854927
"57","Romeo_Y_S","449747018",0.487633522732105
"58","KingxXxReal","101622919",0.727479557117207
"59","SimbaLND","326815027",0.0550690149518985
"60","KirinoKirisame","37713691",0.984572607295955
"61","kardelensrtky","2600034409",0.026356859716343
"62","Janvankampen","34028570",0.146917284643772
"63","VanessaRosso_","134594812",0.253908026697371
"64","AaronBrandt","18002039",0.398709859697404
"65","MaestroMiro1","30989889",0.971997935913176
"66","inesavien","3437200143",0.0278162151242967
"67","COVisuals","532480691",0.00160001747898908
"68","JoshEstepMedia","42862014",0.934119606882924
"69","jesyfrommars","734827249",0.560829607657473
"70","SofiaIsabel98","2147809651",0.539656965116622
"71","Dast0us","1529988780",0.381054115843752
"72","lichumile_m","27038053",0.0530433838663901
"73","vsgopalan","93847915",0.216123827711026
"74","Marlon_Gee","239971287",0.184833176884335
"75","mrgoodbeard__","948743917255778304",0.00571208729425145
"76","alexasm4r","619848673",0.0286175787522549
"77","TamaraBuffard","904134078",0.820859872768689
"78","papillon727","292676736",0.662892738314493
"79","EngMh0","562201392",0.0614217059113989
"80","cherryheaux_","624544753",0.117881760477821
"81","LMKOTCH","25066687",0.978737800657323
"82","MauriceVDC","589667846",0.199059769787753
"83","1Fonzy_","447485726",0.330787637044583
"84","SerghernandezG","190474603",0.483553721972015
"85","BiGHURTSQ","25698990",0.689553645212646
"86","prestoncmoore","2685590707",0.293958835571736
"87","emtommasiello","2775764995",0.0262609516263184
"88","ColnagoViola","3804563775",0.968553443895869
"89","iamediy_","3146930617",0.24171042803493
"90","Jekiton","229105069",0.808400741902091
"91","akaMythics","4905597821",0.848586765506427
"92","FecoBellmunt","1580601036",0.97904555259057
"93","maggienova_","68031746",0.00979810458013119
"94","iLead__followMe","30092524",0.466815410397429
"95","baneoatmeal","259584484",0.472430657711019
"96","RadipDiaz","412597161",0.137055365126908
"97","RamzDavid","2194815738",0.799527459875923
"98","muh_wahyudhi","320655685",0.910095623857403
"99","C_Rich75","274804917",0.919357583510969
"100","letdsa","395493785",0.30004460902869
"101","saiyan_speaks","2208824479",0.879763325535189
"102","ilysmo2lching","2343087950",0.0308205130394552
"103","IncidentesDavid","2225274788",0.705259286199496
"104","skarthikdotin","306409016",0.0541200557732553
"105","Nellnsfraa","241415781",0.046564816774831
"106","hag153","3141161314",0.992005742715217
"107","WVSportsDotCom","24763873",0.0384629563087262
"108","AliceQou","219822060",0.653976004162778
"109","ricardochavez71","3180087788",0.986896260199754
"110","DrLisaCoaching","71900977",0.882884609835634
"111","_gavinlestrade","279798410",0.160145424005414
"112","audeocity","66695711",0.308036509654929
"113","Sylvister_13","607247005",0.410587464229706
"114","SergioGZ_","486100309",0.0244429904874796
"115","LeannaWhatever","64651484",0.545843636281072
"116","BlckGh0st","138510908",0.182757594491261
"117","Theispas","467046407",0.978345374003459
"118","1555FILMWORKS","16327842",0.0634543684171126
"119","Edurenteria","85732430",0.747583107913892
"120","Mz_Emme","30383439",0.912859534609132
"121","shiblumm","2502946133",0.605139629872569
"122","svnflowr_","2473930849",0.851929817840085
"123","Javontejames_","3188859153",0.470211489586052
"124","regorsnas","46180294",0.127045945392966
"125","rebeken_","2330895292",0.793137564903719
"126","irajvirsingh","884013086",0.920435223165479
"127","DBK23970","2694927724",0.989093388033665
"128","doloresrioja","121464710",0.313898029519871
"129","WaddleDoodler","2324042342",0.997007191901644
"130","baseyung","62740246",0.00897772064736836
"131","PatBanahan","902905183",0.0571821336728533
