"","X","screen_name","user_id","prob_bot"
"288",35,"viviannnnaaaa",1607004313,0.018731780168396
"289",36,"SkinSpecialist",18673218,0.1591188374347
"296",43,"billgreen54",14566804,0.33567669005102
"298",45,"izarawr",155567693,0.00858625427169451
"300",47,"jorge_gonz35",1121110932,0.0160318555091773
"301",48,"EmpireExp",4601447955,0.454091225068922
"302",49,"arelygalvs",2746055973,0.045798824765126
"305",52,"fletchforshort_",36650477,0.0948655563322751
"306",53,"householdiron",214024184,0.00447678859814206
"307",54,"Jirayalecochon",843801698,0.0711426028323753
"310",57,"leonobsolete",34375133,0.164479272967747
"311",58,"jtorraca",333665491,0.111810926002526
"313",60,"paula_zamorska",2348847040,0.481389284382563
"315",62,"shreddykreuger",502258336,0.449523656724434
"316",63,"cellesticca",323311207,0.358991311641779
"318",65,"sareenmo",2989165685,0.39956455225768
"320",67,"andrewhuang",26053487,0.0666646192681268
"321",68,"CM_ARI_",1160689932,0.29306069156253
"325",72,"AeliaArcanum",601389348,0.0491763240367926
"327",74,"_PJM3",66433285,0.0219853468638543
"328",75,"satriaahady",345824722,0.187206189314577
"329",76,"mattapperson",29468043,0.200526357999421
"331",78,"AppleCases99",23811431,0.0254109496093582
"333",80,"RunningLoow",3386102381,0.0119441620077076
"334",81,"kwest077",3345284693,0.441419258387198
"338",85,"SpringDaysWJoon",3247568959,0.303279195842801
"340",87,"American4sure",913214584948891648,0.432910669160655
"343",3,"spiicynoodle",413566150,0.0116836609619323
"345",5,"rebecagmontoya",1609866024,0.0193892391910904
"347",7,"gooner65",27861238,0.353508574410828
"351",11,"JacobSchlosser6",543026037,0.0903218282799814
"352",12,"bgood_37",463380499,0.00660561870539703
"353",13,"PatyyRamosM",505330164,0.231898525762292
"355",15,"KSP_Reportages",187119611,0.0288863060480663
"357",17,"rafaelnun1",290268034,0.229426222675743
"360",20,"Larisa_ols",1090487047,0.0150042568534984
"361",21,"aaronmentele",730593,0.131066297931563
"362",22,"foj3sv",1565750491,0.0139823360651782
"363",23,"soro_chan",1539582890,0.0499948383551731
"365",25,"KhavaliBluBallz",3333410653,0.103447534515473
"370",30,"calpizzakitchen",19370018,0.00203501586574351
"373",33,"DontHateTheNate",1537922814,0.0136763922293625
"374",34,"PhoenixSpeakz",117995105,0.0481668868956739
"376",36,"RanaTheBelieber",242938768,0.45088216606872
"377",37,"atxsammy_",367477398,0.00974932970609515
"380",40,"_rodrigorv",29131511,0.442500422910002
"381",41,"graceoneill21",2457181789,0.248621019193558
"382",42,"Primitive_VA",26090003,0.0996527797971356
"385",45,"Joshuaaa__",522061894,0.134477384295703
"387",47,"VicomteTV",192540082,0.449510209098473
"388",48,"SlimanH95",2243663823,0.276214717156003
"389",49,"hasnnosidda",3048407063,0.388820200523824
"390",50,"Amelosoul",420442351,0.192200535300517
"391",51,"thebreespree",304146956,0.376793263883847
"398",58,"IAmEdgarBitch",939646730,0.386194393328127
"402",62,"putri_51024",2295290603,0.0909349237300333
"404",64,"omar_whitmore",2304091507,0.350395239002035
"407",67,"Gerryboy90",272683750,0.44246522927808
"409",69,"shelbywoodfill",987895914,0.00889185762816116
"410",70,"kmcme17",23575903,0.0475644335781964
"411",71,"samosher3",2869812650,0.315771842727685
"412",72,"Ernesto_PV",243603275,0.408020359073405
"414",74,"nomine_Artemis",162536320,0.031435982897261
"420",80,"yairrubinov",61630815,0.00540588764438142
"421",81,"Carinaa01",1500105751,0.308063252967637
"422",82,"Mojarro_Luis",1409394906,0.201310624863461
"425",85,"Jeff__Ordonez",2317568721,0.0221919707900264
"427",2,"FATBOY_Tookie",37550393,0.392814043088887
"429",4,"Wh0r3bag",2227432562,0.0228836590872931
"434",9,"farsil",103190825,0.078206384859402
"436",11,"carelyngissette",119120448,0.0725338564577065
"441",16,"maryouka",210310743,0.149977128816173
"443",18,"Mustafa_SHatti",461930159,0.100844129127016
