"","screen_name","user_id","prob_bot"
"1","BachyRaimbow","2174721066",0.589514937951047
"2","1stAngel","13568992",0.98206580935605
"3","ImSuperior_","315389595",0.0186966480993466
"4","Juliofilizzola","3384058149",0.950133475017128
"5","Ivan92116","158053910",0.851400851688929
"6","ronthorp","27007685",0.926868774205524
"7","mikizoglu","299880081",0.538527625936061
"8","fwxqfatih","2279614957",0.9804727372748
"9","StrangeFirza","67974042",0.51554337196868
"10","Joonies_Galaxy","828769639303938048",0.00304674578995888
"11","Imperfectrese","60949248",0.384701180556966
"12","henryejemuta","209059890",0.0345736945036069
"13","Pab_MX","86587273",0.410385101760779
"14","Gutenmaher","14722308",0.995505407244014
"15","Patchidem","290708944",0.41539649850526
"16","AutismJournal","201103731",0.00833621218830221
"17","karundu","35433908",0.933075596493386
"18","jpavendano","104668379",0.991920680474477
"19","purplesealion","921038472",0.858172549807404
"20","natyco","11513842",0.652370578866049
"21","TechNinjaSpeaks","1321168639",0.00535269661598069
"22","jonathangabnik","264205226",0.992656902038773
"23","OtgerCathalo","1931909173",0.989886632075448
"24","Carlos4719","1139639298",0.310237471559732
"25","JarridWilson","17076385",0.0201402951660987
"26","AlessandroErick","178743179",0.46566291913491
"27","jomalley1964","616255633",0.700799340020293
"28","LordKaymak","262401708",0.0116575388742192
"29","kitahamba","256336267",0.00867969355574493
"30","JoesDaily","19462943",0.0284609629599359
"31","trell_man","1173373472",0.961503256990751
"32","afridi03","176719549",0.752719067894102
"33","cristinavrob","2357180185",0.794354127747397
"34","Manumit1963","438990599",0.897707819176282
"35","zemblanity00","137806129",0.913462337738324
"36","RichHomieDave11","63842907",0.900328569329174
"37","HelpsCharlie","2653586448",0.728958521219569
"38","Yorksworld","20940336",0.926656482060141
"39","Fugaku363","904908213681774592",0.999891946084367
"40","coachemaccmac","704562148123373568",0.801451503268342
"41","SmahumaFam","2886481679",0.969901918385993
"42","nv7281","1039680938899169280",0.957156124350469
"43","genadinik","19393547",0.143383675427086
"44","nancyariasvilla","614492046",0.839393088660867
"45","Wispofisis","70483327",0.815688715146774
"46","mollz_elizabeth","139576040",0.0129329775061688
"47","ChrishanaFancy","35538284",0.837561349551126
"48","MandiieeKillaaa","186707843",0.021162672668555
"49","juanblanco76","217506104",0.356328589897589
"50","la_j_escarlata","276251086",0.918175165658215
"51","jaapstronks","1605791",0.0987840756867885
"52","GithakaKGithaka","3696573015",0.0084511507073416
"53","Xovli","85707759",0.0172412320909434
"54","Leboulonnais1","1647031086",0.0432296752105825
"55","oliverarmie","2185762388",0.0220572927703303
"56","EpicLPer","173754304",0.0229510384268048
"57","Bra_Biney","151658472",0.0973396382730563
"58","_adrees93","2337889485",0.0213855104572683
"59","LamourRaven","451585807",0.355232258636642
"60","TrudaOceans","176859552",0.206479922683333
"61","OpenBlender_io","277551458",0.0235095102948664
"62","xOahuBeachx","458674076",0.146418705526701
"63","MexicanSwiftie_","183433612",0.338539497753868
"64","odiboluminous","21894808",0.92019156694572
"65","Scientist_Mani","350005565",0.0167468713627953
"66","ak47_twits","726289166",0.193715814305785
"67","ErnstNordholt","949768987",0.817551902940304
"68","CoachKorey3","709878002",0.00427554298809219
"69","YeahitsNoble","32993201",0.015234535218078
"70","DanielStrauss4","75600769",0.0855726536456713
"71","StirMixxalot","248860259",0.867528703942433
"72","ArlindHalimi","264802033",0.0109282273486372
"73","RoxanneRhoads","38908596",0.684979774937351
"74","MLWadester","117464605",0.967764529467741
"75","sinyovandlahom","98649046",0.740572463947405
"76","BuyDirectUSA","30095152",0.00623409894848027
"77","Bergg69","76919759",0.95783567560094
"78","Mz_Issey","276149113",0.0835897493612065
"79","GothboyUK","250214902",0.372964495597802
"80","nakamakoko","75250778",0.868942516290929
"81","boliheladoasd","1210699118",0.0127579326036957
"82","chamchamp07","82555424",0.00879614913292181
"83","JeffreyMeursing","1894605858",0.556225548704831
"84","NickieRen","916659277",0.187049659768244
"85","1a31551c566e43d","2947369125",0.947204346562536
"86","HaziqChoyy","576726374",0.861800484285702
"87","ShanMirza5","276984976",0.72502016374199
"88","PapillonFlacko","335703903",0.030203367483657
"89","EdwinGold","2961097181",0.971829913398354
"90","marsdnews24","2989806721",0.588250830385027
"91","WhoTheCares","96165062",0.0348640378804303
"92","LittleLarry_69","1710376976",0.982370524291426
"93","v_greenlaw","239223097",0.381879855050772
"94","bri_monster1","181805248",0.971078455416781
"95","alikamranes","2565481647",0.0597503100443882
"96","lordoftheraki","1471984387",0.00862097616123967
"97","CHaif_Q8","237902469",0.0112051553259178
"98","charlezenston","4651706307",0.94617571428978
"99","AdamuAbu_","105532384",0.900014746932662
"100","Rosenchild","480875170",0.622133568135821
"101","Chantepoule","210747105",0.899981546003867
"102","don_futbool","928199839",0.931720218345017
"103","evermore_yh","64233934",0.959789944986371
"104","KesusWalks","342605301",0.00881979177397962
"105","Haruuuuukiiiiii","3048107837",0.801640261751889
"106","bd_american","4731209658",0.979955674843686
"107","NenSoniuch","1177039093",0.931197439914813
"108","charlene_2050","539391777",0.914637870406845
"109","kdubbinn","1159384207",0.507723917284309
"110","josejacas","14712261",0.100252820441621
"111","AllExclusiveUS","118638286",0.925625186856262
"112","BlkDrgn88","43478554",0.1662384986953
"113","kompromatkoffer","15272192",0.144844363834738
"114","Adenovir","64009474",0.526727247236998
