"","Date","Price_Open","Price_High","Price_Low","Price_Close","Volume"
"512","21/01/2016",201.550003,203.229996,NA,199.970001,3166200
"513","21/02/2017",275.450012,281.399994,274.01001,277.390015,5676700
"516","21/03/2019",272.600006,276.450012,NA,274.019989,5947100
"518","21/04/2016",248.990005,250.899994,246.910004,248.289993,2783100
"519","21/04/2017",302,306.399994,300.420013,305.600006,4509800
"521","21/05/2019",197.759995,207.399994,NA,205.080002,18003900
"523","21/06/2017",374.350006,376.98999,368.019989,376.399994,4923200
"525","21/07/2017",329.459991,331.26001,325.799988,328.399994,4901600
"526","21/08/2014",256.519989,258.799988,253.259995,254.339996,2915600
"529","21/09/2016",206.369995,207,201.559998,205.220001,2633500
"531","21/09/2018",297.700012,300.579987,NA,299.100006,5050500
"532","21/10/2016",198.600006,201.570007,197.410004,200.089996,2943400
"541","22/01/2016",204.800003,205.5,199.029999,202.550003,3124100
"543","22/01/2019",304.820007,308,NA,298.920013,12066700
"544","22/02/2017",280.309998,283.450012,272.600006,273.51001,8755000
"553","22/07/2016",221.990005,224.5,NA,222.270004,2579700
"554","22/08/2014",254.539993,256.950012,252.610001,256.779999,2833400
"556","22/08/2018",320.869995,323.880005,NA,321.640015,5946000
"557","22/09/2014",255,256.019989,NA,250.029999,8214100
"562","22/12/2016",208.220001,209.990005,206.5,208.449997,3111100
"564","23/01/2015",200.289993,203.5,198.330002,201.289993,3438600
"565","23/02/2018",347.829987,354.98999,347.100006,352.049988,5817400
"566","23/03/2015",198.5,200.5,197.470001,199.630005,2620900
"568","23/03/2017",255.389999,257.670013,253.300003,254.779999,3320200
"570","23/05/2018",277.76001,279.910004,274,279.070007,5953100
"573","23/08/2016",224.320007,228.490005,222.800003,224.839996,4784400
"574","23/08/2018",319.140015,327.320007,NA,320.100006,5147300
"575","23/09/2016",205.990005,210.179993,205.669998,207.449997,2905200
"578","23/12/2014",223.809998,224.320007,219.520004,220.970001,4505700
"581","24/01/2017",250,254.800003,249.649994,254.610001,4965500
"582","24/01/2018",354.579987,354.75,343.519989,345.890015,5287500
"585","24/02/2017",252.660004,258.25,250.199997,257,8171600
"586","24/03/2015",201.580002,203.789993,199.75,201.720001,3649900
"589","24/04/2017",309.220001,310.549988,306.019989,308.029999,5083500
"590","24/05/2017",306.51001,311,305.399994,310.220001,5033300
"593","24/07/2014",223.25,225.100006,220.800003,223.539993,3245500
"597","24/08/2016",227.050003,227.149994,222.220001,222.619995,2570700
"598","24/08/2017",352.519989,356.660004,349.73999,352.929993,4584700
"599","24/08/2018",320.700012,323.850006,NA,322.820007,3602600
"602","24/09/2018",298.480011,303,NA,299.679993,4843000
"603","24/10/2016",201,203.949997,200.25,202.759995,2751600
"606","25/01/2016",200.059998,203.570007,NA,196.380005,2698700
"607","25/01/2017",257.309998,258.459991,251.800003,254.470001,5142600
"610","25/02/2016",178.649994,188.520004,NA,187.429993,5720500
"613","25/04/2016",253.009995,257.380005,250.759995,251.820007,3670300
"616","25/04/2019",255,259,246.070007,247.630005,21849400
"620","25/07/2014",222.720001,226.970001,221.75,223.570007,3087100
"626","25/08/2017",354.23999,355.690002,347.299988,348.049988,3484000
"627","25/09/2014",252.520004,254.960007,246.100006,246.949997,4834200
"630","25/10/2016",202.899994,204.690002,201.199997,202.339996,2445000
"631","25/11/2014",247.350006,249.720001,246.089996,248.089996,3159800
"633","26/01/2015",201.830002,208.619995,201.050003,206.550003,3234500
"635","26/01/2017",254.289993,255.740005,250.75,252.509995,3152100
"639","26/03/2018",307.339996,307.589996,NA,304.179993,8375200
"640","26/04/2016",252.050003,255.729996,249.389999,253.740005,3223800
"643","26/05/2015",247.679993,252,246.5,247.460007,3498700
"645","26/07/2016",227.690002,230,225.300003,229.509995,3430000
"646","26/07/2018",304.850006,310.700012,303.640015,306.649994,4630500
"647","26/08/2015",227.929993,228,NA,224.839996,4963000
"653","26/10/2016",201,203.190002,200.100006,202.240005,5632800
"654","26/10/2017",327.779999,330.230011,323.200012,326.170013,5023500
"657","26/11/2018",325,346.220001,325,346,7992100
"658","26/12/2014",221.509995,228.5,221.5,227.820007,3327000
"660","26/12/2018",300,326.970001,NA,326.089996,8163100
"661","27/01/2015",204.419998,208.029999,203.300003,205.979996,2781000
"662","27/01/2017",251.380005,253,248.520004,252.949997,3166300
"664","27/02/2017",248.169998,248.360001,NA,246.229996,11460800
"667","27/03/2015",189.070007,189.289993,181.399994,185,8526900
"670","27/04/2016",252.75,255,249.399994,251.470001,3205800
"671","27/05/2015",248.509995,249.5,245.550003,247.429993,3408200
"672","27/05/2016",224.990005,225.929993,220.75,223.039993,3650300
"674","27/06/2018",345,350.790009,NA,344.5,8333700
"675","27/07/2016",229.339996,233.360001,226.919998,228.490005,2885200
"676","27/07/2017",346,347.5,326.290009,334.459991,8302400
"677","27/07/2018",307.25,307.690002,NA,297.179993,5703300
"679","27/09/2016",209.649994,209.979996,204.610001,205.809998,3373200
"684","28/01/2015",206.110001,206.369995,198.419998,199.369995,3149600
"688","28/03/2017",277.019989,280.679993,275,277.450012,7987600
"690","28/04/2016",249.850006,253.429993,247.440002,247.710007,2519000
"692","28/05/2015",247.029999,251.800003,245.050003,251.449997,3647300
"693","28/06/2016",201.889999,204.050003,199.410004,201.789993,6212400
"694","28/06/2018",348.660004,357.019989,346.109985,349.929993,8398000
"699","28/09/2015",257.350006,259.790009,246.610001,248.429993,4901100
"708","29/01/2015",201.070007,205.979996,NA,205.199997,3548100
"710","29/03/2017",278.339996,279.600006,275.540009,277.380005,3676200
"712","29/03/2019",278.700012,280.160004,274.5,279.859985,5991300
"721","29/07/2014",226.610001,228.300003,224.860001,225.009995,3382400
"725","29/09/2015",250.460007,254.729996,245.460007,246.649994,3703200
"726","29/09/2016",205.600006,207.330002,200.580002,200.699997,2727000
"728","29/12/2014",226.899994,227.910004,224.020004,225.710007,2802500
"730","30/01/2015",203.960007,207.470001,203,203.600006,3007000
"732","30/01/2018",345.140015,348.269989,NA,345.820007,4717700
"733","30/01/2019",300.450012,309,298.48999,308.769989,11250300
"740","30/07/2014",221.919998,229.600006,221.039993,228.919998,4927800
"741","30/08/2017",349.670013,353.470001,347,353.179993,3412900
"744","30/09/2015",252,252.399994,NA,248.399994,4923300
"745","30/09/2016",202.210007,204.979996,199.550003,204.029999,2586300
"748","30/11/2015",231.789993,234.279999,229.080002,230.259995,2659800
"750","30/12/2014",223.990005,225.649994,221.399994,222.229996,2903200
"752","31/01/2018",347.51001,356.190002,345.190002,354.309998,6214100
"755","31/03/2017",278.730011,279.679993,276.320007,278.299988,3294600
"756","31/05/2016",223.039993,224.75,221.5,223.229996,2789000
"758","31/07/2014",229.259995,231.399994,221.5,223.300003,7749100
"760","31/08/2018",302,305.309998,298.600006,301.660004,5375100
"761","31/10/2016",202.490005,202.490005,NA,197.729996,4692300
"762","31/10/2017",320.230011,331.950012,NA,331.529999,5672300
